==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
17.8144s  4.5120us                    -               -         -         -         -  26.266KB  5.5516GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8146s  2.1120us                    -               -         -         -         -  6.8906KB  3.1115GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8146s  1.9840us                    -               -         -         -         -  6.8906KB  3.3122GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8147s  2.1440us                    -               -         -         -         -  6.8906KB  3.0650GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8148s  1.8240us                    -               -         -         -         -  6.8906KB  3.6027GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8148s  1.2160us                    -               -         -         -         -  6.8906KB  5.4041GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8155s  2.4000us             (25 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [14524]
17.8158s  14.688us                    -               -         -         -         -  157.59KB  10.232GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8160s  8.6080us                    -               -         -         -         -  78.797KB  8.7299GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8168s  21.408us             (53 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [14530]
17.8201s  2.0800us                    -               -         -         -         -  13.133KB  6.0214GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8202s  2.7840us                    -               -         -         -         -  13.133KB  4.4987GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8202s  1.3440us                    -               -         -         -         -  13.133KB  9.3188GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8203s  1.2480us             (53 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [14593]
17.8205s  20.128us             (53 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [14595]
17.8222s  2.1120us                    -               -         -         -         -  13.133KB  5.9301GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8222s  2.7840us                    -               -         -         -         -  13.133KB  4.4987GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8222s  1.2480us                    -               -         -         -         -  13.133KB  10.036GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8232s  1.1840us                    -               -         -         -         -  3.4453KB  2.7751GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8232s  1.9520us                    -               -         -         -         -  3.4453KB  1.6833GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8269s  1.2160us                    -               -         -         -         -  3.4453KB  2.7021GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8269s  1.9520us                    -               -         -         -         -  3.4453KB  1.6833GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8269s  1.2160us                    -               -         -         -         -  3.4453KB  2.7021GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8276s     832ns             (14 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [14805]
17.8389s  1.2160us                    -               -         -         -         -  4.6875KB  3.6763GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8390s  1.2160us                    -               -         -         -         -  2.3438KB  1.8381GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.8392s  2.1120us                    -               -         -         -         -  6.8906KB  3.1115GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8392s  1.8880us                    -               -         -         -         -  6.8906KB  3.4806GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8394s  2.1120us                    -               -         -         -         -  6.8906KB  3.1115GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.8394s  2.1760us                    -               -         -         -         -  6.8906KB  3.0200GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.8394s  1.1840us                    -               -         -         -         -  6.8906KB  5.5502GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
